RecordID;Дата и время записи;п1;п2;п3;п4;п5;п6;п7;п8;п9;п10;п11;п12;п13;п14;п15;п16;п17;п18;п19;п20;п21;п22;п23;п24;п25;п26;п27;п28;п29;п30;п31;п32;п33;п34;п35;п36;п37;п38;п39;п40;п41;п42;п43;п44;п45;п46;п47;п48;п49;п50;п51;п52;п53;п54;п55;п56;п57;п58;п59;п60;п61;п62;п63;п64;п65;п66;п67;п68;п69;п70;п71;п72;п73;п74;п75;п76;п77;п78;п79;п80;п81;п82;п83;п84;п85;п86;п87;п88;п89;п90;п91;п92;п93;п94;п95;п96;п97;п98;п99;п100;п101;п102;п103;п104;п105;п106;п107;п108;п109;п110;п111;п112;п113;п114;п115;п116;п117;п118;п119;п120;п121;п122;п123;п124;п125;п126;п127;п128;п129;п130;п131;п132;п133;п134;п135;п136;п137;п138;п139;п140;п141;п142;п143;п144;п145;п146;п147;п148;п149;п150;п151;п152;п153;п154;п155;п156;п157;п158;п159;п160;п161;п162;п163;п164;п165;п166;п167;п168;п169;п170;п171;п172;п173;п174;п175;п176;п177;п178;п179;п180;п181;п182;п183;п184;п185;п186;п187;п188;п189;п190;п191;п192;п193;п194;п195;п196;п197;п198;п199;п200;п201;п202;п203;п204;п205;п206;п207;п208;п209;п210;п211;п212;п213;п214;п215;п216;п217;п218;п219;п220;п221;п222;п223;п224;п225;п226;п227;п228;п229;п230;п231;п232;п233;п234;п235;п236;п237;п238;п239;п240;п241;п242;п243;п244;п245;п246;п247;п248;п249;п250;п251;п252;п253;п254;п255;п256;п257;п258;п259;п260;п261;п262;п263;п264;п265;п266;п267;п268;п269;п270;п271;п272;п273;п274;п275;п276;п277;п278;п279;п280;п281;п282;п283;п284;п285;п286;п287;п288;п289;п290;п291;п292;п293;п294;п295;п296;п297;п298;п299;п300;п301;п302;п303;п304;п305;п306;п307;п308;п309;п310;п311;п312;п313;п314;п315;п316;п317;п318;п319;п320;п321;п322;п323;п324;п325;п326;п327;п328;п329;п330;п331;п332;п333;п334;п335;п336;п337;п338;п339;п340;п341;п342;п343;п344;п345;п346;п347;п348;п349;п350;п351;п352;п353;п354;п355;п356;п357;п358;п359;п360;п361;п362;п363;п364;п365;п366;п367;п368;п369;п370;п371;п372;п373;п374;п375;п376;п377;п378;п379;п380;п381;п382;п383;п384;п385;п386;п387;п388;п389;п390;п391;п392;п393;п394;п395;п396;п397;п398;п399;п400;п401;п402;п403;п404;п405;п406;п407;п408;п409;п410;п411;п412;п413;п414;п415;п416;п417;п418;п419;п420;п421;п422;п423;п424;п425;п426;п427;п428;п429;п430;п431;п432;п433;п434;п435;п436;п437;п438;п439;п440;п441;п442;п443;п444;п445;п446;п447;п448;п449;п450;п451;п452;п453;п454;п455;п456;п457;п458;п459;п460;п461;п462;п463;п464;п465;п466;п467;п468;п469;п470;п471;п472;п473;п474;п475;п476;п477;п478;п479;п480;п481;п482;п483;п484;п485;п486;п487;п488;п489;п490;п491;п492;п493;п494;п495;п496;п497;п498;п499;п500;п501;п502;п503;п504;п505;п506;п507;п508;п509;п510;п511;п512;п513;п514;п515;п516;п517;п518;п519;п520;п521;п522;п523;п524;п525;п526;п527;п528;п529;п530;п531;п532;п533;п534;п535;п536;п537;п538;п539;п540;п541;п2624;п2625;п2626;п2627;п2628;п2629;п2630;п2631;п2632;п2633;п2634;п2635;п2636;п2637;п2638;п2639;п2640;п2641;п2642;п2643;п2644;п2645;п2646;п2647;п2648;п2649;п2650;п2651;п2652;п2653;п2654;п2655;п2656;п2657;п2658;п2659;п2660;п2661;п2662;п2663;п2664;п2665;п2666;п2667;п2668;п2669;п2670;п2671;п2672;п2673
2;18 августа 2022 г. 7:58:29.002 мсек;0;0;0;0;0;0;0;0;0;0;99.540314;128.587433;35,931221;0;0;99,210342;36,831532;36,128162;37,731842;36,747128;36,972206;99,357208;37,309822;37,450493;37,141014;100;37,169147;36,550186;35,790546;35,903088;37,169147;35,621738;36,831532;36,775261;36,606453;36,437645;36,775261;0;34,55262;36,015625;35,959354;36,493916;36,437645;36,381378;32,80827;31,992365;31,288998;32,695732;32,80827;33,399097;31,992365;32,583191;31,00765;32,470654;32,470654;32,358116;23,748899;24,030247;23,861439;28,897549;24,030247;24,142786;39,569214;38,993423;38,993423;38,146667;38,536175;38,24828;37,028954;37,333786;37,689423;36,402355;36,718994;36,493916;36,831532;36,493916;36,381378;36,240704;35,678009;37,225418;18,654966;18,898109;19,697004;18,898109;18,533396;20,235392;97,567268;26,921803;32,744381;25,983967;30,762976;0;30,051071;23,805168;0;29,825994;23,917707;23,383148;18,394457;23,777035;19,367025;78,804665;-2,95723;19,637634;20,75061;20,201248;19,330841;20,051422;19,188156;19,059738;19,273773;19,202423;19,430725;19,53775;23,39035;22,577026;18,838562;19,887329;20,736328;20,622177;21,414108;21,606735;36,039764;36,938721;29,66156;22,89093;21,235748;30,831604;30,003998;29,725769;26,265533;37,024323;-50;20,329666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001698;0;6,834516;6,689174;6,644542;0;2,7161;0;1,106274;0;0;0;0;0;0;0;0;0;0;0;0;0,308994;0,062943;0,133514;0,079789;0;0;7,279697;7,418173;0,358582;0;7,156479;0;0,238419;0,195503;0,219345;1,034752;1,072899;135,228302;0,191542;0,119209;0,128746;0,047684;-315;-81,32753;-315;-315;0;-315;0;0;1235,264771;2037,262451;0;1,984141;2,537578;0,520715;47,899281;44,959324;0;0;0,765272;0;0;0;0,605453;4,249763;0;0;100;100;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132,465469;0;0;0;0;0;0;0;-0,114441;0;2,985045;-0,797296;0;0;0;0,030518;0,400551;-1,37713;0;0;0;0;0;0;0;0;0;0;0;0;28,719818;2;2;0;0;0,176242;0;0,002289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,001526;0;0,001526;0;0;0;0;0;0;30,631836;29,575928;0,000566;6,722744;1353,182251;31,753677;19,966198;18,73312;0;0;0;0;40;40;0;0;0;0;0;0;0;132,461716;132,461716;0;3,757975;-296,995728;-301,496796;-296,995728;200;200;200;200;0,079789;20;30;30;0;0;0;0;0;0,155376;132,463638;0;0;0;0;0;0;0;0;25;0;0;3,75753;0;0;30;0;0;1297,721069;20;20;20;15;20;20;20;20;0,065366;0;46,492336;1673,048584;2,226321;200;1,041904;18,863375;23,551956;0;0,531777;0;-0,203021;0;-0,203021;-0,203021;0,203021;0;0,57579;0,846756;0,287895;3,576378;3,70351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58,096684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206,432541;0,059827;285,656891;246,282379;314,622437;1053,054077;0;0;0;0;0;0;0;0;0;3,745528;6,329028;0;-0,042712;-0,042804;0,042804;-0,042804;0;0;0;-0,042804;0;0;-0,042804;0;0;0;0;-0,042804;0;0,085516;0;0;0;0;0,207424;3,382956;3,382956;1297,721069;0;0;0;0;0;0;0;0;0;0;10;0;20;2,7161;0;1,02998;0;0;0;0;0;558;558;559;559;-2;0;0;3,755684;0;0;132,448914;132,448914;1408,435425;1,945309;20;0;0;0,8;50;3,755512;0;0;9,737897;1,359435;0;4,336504;0;0,763076;1,994321;1,994321;1723,487549;0;0;0;0;18,776539;18,715752;18,880741;0,162773;15,403706;0;0;0;1467,022461;9,737897;0;1678955;304,226288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10799;18 августа 2022 г. 7:58:26.012 мсек;0;0;0;0;0;0;0;0;0;0;99.540314;127.690872;35.931221;0;0;99.210342;36.718994;36.128162;37.788113;36.747128;36.915936;99.357208;37.309822;37.506763;37.084743;100;37.169147;36.550186;35.790546;35.846817;37.281685;35.621738;36.775261;36.718994;36.606453;36.381378;36.831532;0;34.55262;35.959354;36.015625;36.493916;36.437645;36.381378;32.86454;31.992365;31.288998;32.695732;32.751999;33.342831;31.992365;32.583191;31.00765;32.38625;32.470654;32.414383;23.748899;23.973978;23.805168;28.897549;24.086515;24.142786;39.569214;38.993423;38.993423;38.112797;38.536175;38.24828;37.028954;37.333786;37.655552;36.402355;36.718994;36.493916;36.831532;36.493916;36.381378;36.240704;35.678009;37.225418;18.654966;18.932844;19.697004;18.967579;18.533396;20.235392;97.567268;26.956537;32.744381;25.983967;30.762976;0;30.051071;23.805168;0;29.825994;23.973978;23.383148;18.394457;23.777035;19.40176;78.804665;-3.413834;19.623352;20.75061;20.201248;19.330841;20.051422;19.188156;19.059738;19.273773;19.209564;19.430725;19.53775;23.39035;22.577026;18.838562;19.89447;20.736328;20.622177;21.414108;21.621002;36.039764;36.938721;29.66156;22.89093;21.235748;30.831604;30.003998;29.718628;26.265533;37.024323;-50;20.343933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001793;0;6.828794;6.67773;6.644542;0;2.7161;0;1.068127;0;0;0;0;0;0;0;0;0;0;0;0;0.29755;0.062943;0.114441;0.081193;0;0;7.267109;7.398718;0.282288;0;7.118332;0;0.190735;0.224113;0.243187;1.01091;1.049057;135.156784;0.191738;0.071526;0.152588;0.047684;-315;-81.32753;-315;-315;0;-315;0;0;1235.264771;2074.373779;0;1.945309;2.476717;0.520715;47.734779;45.076271;0;0;0.763076;0;0;0;0.523628;4.246255;0;0;100;100;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132.446106;0;0;0;0;0;0;0;-0.066757;0;2.956435;-0.797296;0;0;0;0;0.376709;-1.37713;0;0;0;0;0;0;0;0;0;0;0;0;28.726929;2;2;0;0;0.178531;0.002289;0.002289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.001526;0;0;0;0;0;0;0;0;30.631836;29.575928;0.000598;6.717022;1353.182251;31.753677;19.966198;18.73312;0;0;0;0;40;40;0;0;0;0;0;0;0;132.443771;132.443771;0;3.741689;-296.964417;-301.473328;-296.964417;200;200;200;200;0.081193;20;30;30;0;0;0;0;0;0.131632;132.445831;0;0;0;0;0;0;0;0;25;0;0;3.70031;0;0;30;0;0;1293.977417;20;20;20;15;20;20;20;20;0.065366;0;46.428944;1732.007324;2.226321;200;1.053825;18.880741;23.551956;0;0.535782;0;-0.203021;0;-0.203021;-0.203021;0.203021;0;0.541924;0.880627;0.287895;3.576378;3.70351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.096684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206.432541;0.059827;285.656891;246.282379;314.622437;1053.054077;0;0;0;0;0;0;0;0;0;3.743821;6.329028;0;-0.042712;-0.042804;0.042804;-0.042804;0;0;0;-0.042804;0;0;-0.042804;0;0;0;0;-0.042804;0;0.085516;0;0;0;0;0.23365;3.521089;3.382956;1293.977417;0;0;0;0;0;0;0;0;0;0;10;0;20;2.677953;0;1.106274;0;0;0;0;0;558;558;559;559;-2;0;0;3.741688;0;0;132.443771;132.443771;1353.182251;1.945309;20;0;0;0.8;50;3.741689;0;0;9.909053;1.359435;0;4.259353;0;0.763076;1.959875;1.959875;1693.719116;0;0;0;0;18,811272;18,73312;18,898109;0,162362;15,403706;0;0;0;1441,683228;9,909053;0;1678955;304,226288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10800;18 августа 2022 г. 7:58:27.012 мсек;0;0;0;0;0;0;0;0;0;0;99.540314;131.389191;35,87495;0;0;99,210342;36,718994;36,071896;37,731842;36,747128;36,915936;99,357208;37,309822;37,450493;37,084743;100;37,112877;36,550186;35,790546;35,846817;37,225418;35,621738;36,831532;36,718994;36,606453;36,437645;36,775261;0;34,55262;35,959354;35,903088;36,493916;36,437645;36,381378;32,80827;31,992365;31,232729;32,751999;32,751999;33,399097;31,992365;32,583191;31,00765;32,38625;32,526924;32,414383;23,748899;23,973978;23,805168;28,84128;24,086515;24,142786;39,569214;39,02729;38,959553;38,112797;38,570045;38,24828;37,028954;37,333786;37,689423;36,402355;36,718994;36,493916;36,775261;36,493916;36,381378;36,240704;35,678009;37,225418;18,654966;18,932844;19,697004;18,898109;18,533396;20,235392;97,567268;26,921803;32,71051;25,983967;30,762976;0;30,051071;23,805168;0;29,769724;23,973978;23,355013;18,37709;23,748899;19,314924;78,804665;-4,712311;19,637634;20,75061;20,201248;19,330841;20,051422;19,188156;19,059738;19,273773;19,202423;19,430725;19,53775;23,39035;22,577026;18,838562;19,89447;20,736328;20,622177;21,414108;21,621002;36,054047;36,938721;29,66156;22,89093;21,235748;30,817352;30,003998;29,718628;26,265533;37,024323;-50;20,329666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001793;0;6,823071;6,689174;6,650264;0;2,761889;0;1,144421;0;0;0;0;0;0;0;0;0;0;0;0;0,308994;0,062943;0,133514;0,080701;0;0;7,267109;7,398718;0,358582;0;7,118332;0;0,290878;0,195503;0,243187;0,987068;1,120582;135,204468;0,192068;0,095367;0,104904;0,047684;-315;-81,387611;-315;-315;0;-315;0;0;1353,182251;2037,262451;0;1,984141;2,476717;0,511178;47,993065;44,969242;0;0;0,764274;0;0;0;0,5092;4,249763;0;0;100;100;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132,447388;0;0;0;0;0;0;0;-0,114441;0;2,985045;-0,774384;0;0;0;0;0,376709;-1,415277;0;0;0;0;0;0;0;0;0;0;0;0;28,726929;2;2;0;0;0,178531;0,002289;0,002289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,001526;0;0;0;0;0;0;0;0;30,646118;29,575928;0,000598;6,720837;1295,574951;31,736744;19,966198;18,715752;0;0;0;0;40;40;0;0;0;0;0;0;0;132,44696;132,44696;0;3,741052;-297,011383;-301,508545;-297,011383;200;200;200;200;0,080701;20;30;30;0;0;0;0;0;0,143718;132,447174;0;0;0;0;0;0;0;0;25;0;0;3,738457;0;0;30;0;0;1295,197144;20;20;20;15;20;20;20;20;0,065366;0;46,455956;1666,418701;2,226321;200;1,041904;18,846008;23,551956;0;0,542458;0;-0,203021;0;-0,203021;-0,203021;0,203021;0;0,541924;0,846756;0,321766;3,548243;3,675375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58,096684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206,432541;0,059827;285,656891;246,282379;314,622437;1053,054077;0;0;0;0;0;0;0;0;0;3,743735;6,329028;0;-0,042712;-0,042804;0,042804;-0,042804;0;0;0;-0,042804;0;0;-0,042804;0;0;0;0;-0,042804;0;0,085516;0;0;0;0;0,219345;3,382956;3,238937;1295,197144;0;0;0;0;0;0;0;0;0;0;10;0;20;2,677953;0;1,02998;0;0;0;0;0;558;558;559;559;-2;0;0;3,741053;0;0;132,44696;132,44696;1235,264771;1,984141;20;0;0;0,8;50;3,742743;0;0;10,105399;1,36157;0;4,424317;0;0,764274;1,924812;1,924812;1663,417847;0;0;0;0;18,776539;18,73312;18,846008;0,161551;15,403706;0;0;0;1413,671509;10,105399;0;1678955;304,226288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;18 августа 2022 г. 7:58:28.012 мсек;0;0;0;0;0;0;0;0;0;0;99,540314;127,35466;35,87495;0;0;99,210342;36,831532;36,128162;37,731842;36,747128;36,972206;99,366745;37,309822;37,450493;37,141014;100;37,169147;36,550186;35,790546;35,903088;37,225418;35,621738;36,831532;36,718994;36,606453;36,437645;36,775261;0;34,55262;35,959354;35,903088;36,493916;36,437645;36,381378;32,80827;31,992365;31,288998;32,751999;32,751999;33,399097;31,992365;32,583191;31,00765;32,38625;32,470654;32,358116;23,748899;24,030247;23,861439;28,897549;24,030247;24,142786;39,569214;38,993423;38,993423;38,146667;38,536175;38,24828;37,028954;37,333786;37,689423;36,402355;36,718994;36,493916;36,831532;36,493916;36,381378;36,240704;35,678009;37,225418;18,654966;18,898109;19,697004;18,898109;18,533396;20,235392;97,567268;26,921803;32,71051;25,983967;30,762976;0;30,051071;23,805168;0;29,769724;23,973978;23,355013;18,37709;23,748899;19,384394;78,804665;-4,712311;19,637634;20,75061;20,201248;19,330841;20,051422;19,188156;19,059738;19,273773;19,202423;19,430725;19,53775;23,39035;22,577026;18,838562;19,89447;20,736328;20,622177;21,414108;21,621002;36,054047;36,938721;29,66156;22,89093;21,235748;30,831604;30,003998;29,718628;26,265533;37,024323;-50;20,329666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001793;0;6,834516;6,689174;6,644542;0;2,7161;0;1,068127;0;0;0;0;0;0;0;0;0;0;0;0;0,29755;0,062943;0,133514;0,080254;0;0;7,279697;7,418173;0,320435;0;7,156479;0;0,262268;0,271805;0,267036;0,987068;1,049057;135,228302;0,192696;0,095367;0,128746;0,047684;-315;-81,32753;-315;-315;0;-315;0;0;1235,264771;2110,83252;0;2,022227;2,537578;0,520715;48,063347;45,000561;0;0;0,763076;0;0;0;0,617636;4,248009;0;0;100;100;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132,449921;0;0;0;0;0;0;0;-0,114441;0;2,956435;-0,774384;0;0;0;0;0,376709;-1,37713;0;0;0;0;0;0;0;0;0;0;0;0;28,719818;2;2;0;0;0,178531;0;0,002289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,001526;0;0;0;0;0;0;0;0;30,646118;29,575928;0,000598;6,722744;1295,574951;31,736744;19,966198;18,715752;0;0;0;0;40;40;0;0;0;0;0;0;0;132,448914;132,448914;0;3,755684;-296,997986;-301,498474;-296,997986;200;200;200;200;0,080254;20;30;30;0;0;0;0;0;0,144031;132,449036;0;0;0;0;0;0;0;0;25;0;0;3,738457;0;0;30;0;0;1296,827515;20;20;20;15;20;20;20;20;0,065366;0;46,547592;1732,007324;2,245737;200;1,041904;18,863375;23,551956;0;0,536736;0;-0,203021;0;-0,203021;-0,203021;0,203021;0;0,57579;0,846756;0,321766;3,548243;3,675375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58,096684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206,432541;0,059827;285,656891;246,282379;314,622437;1053,054077;0;0;0;0;0;0;0;0;0;3,745199;6,329028;0;-0,042712;-0,042804;0,042804;-0,042804;0;0;0;-0,042804;0;0;-0,042804;0;0;0;0;-0,042804;0;0,085516;0;0;0;0;0,26942;3,088162;3,238937;1296,827515;0;0;0;0;0;0;0;0;0;0;10;0;20;2,7161;0;1,02998;0;0;0;0;0;558;558;559;559;-2;0;0;3,755684;0;0;132,448914;132,448914;1408,435425;1,945309;20;0;0;0,8;50;3,755512;0;0;9,737895;1,359434;0;4,37806;0;0,763076;1,994321;1,994321;1723,487549;0;0;0;0;18,776539;18,715752;18,880741;0,162773;15,403706;0;0;0;1467,022827;9,737895;0;1678955;304,226288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
